threshold,auto_resolve_count,coverage,precision,false_auto_resolution_rate,human_review_rate
0.5,13,0.325,0.8462,0.1538,0.675
0.51,12,0.3,0.8333,0.1667,0.7
0.52,12,0.3,0.8333,0.1667,0.7
0.53,12,0.3,0.8333,0.1667,0.7
0.54,12,0.3,0.8333,0.1667,0.7
0.55,12,0.3,0.8333,0.1667,0.7
0.56,12,0.3,0.8333,0.1667,0.7
0.57,11,0.275,0.8182,0.1818,0.725
0.58,9,0.225,0.8889,0.1111,0.775
0.59,8,0.2,1.0,0.0,0.8
0.6,8,0.2,1.0,0.0,0.8
0.61,7,0.175,1.0,0.0,0.825
0.62,7,0.175,1.0,0.0,0.825
0.63,6,0.15,1.0,0.0,0.85
0.64,5,0.125,1.0,0.0,0.875
0.65,4,0.1,1.0,0.0,0.9
0.66,3,0.075,1.0,0.0,0.925
0.67,2,0.05,1.0,0.0,0.95
0.68,2,0.05,1.0,0.0,0.95
0.69,2,0.05,1.0,0.0,0.95
0.7,1,0.025,1.0,0.0,0.975
0.71,1,0.025,1.0,0.0,0.975
0.72,0,0.0,1.0,0.0,1.0
0.73,0,0.0,1.0,0.0,1.0
0.74,0,0.0,1.0,0.0,1.0
0.75,0,0.0,1.0,0.0,1.0
0.76,0,0.0,1.0,0.0,1.0
0.77,0,0.0,1.0,0.0,1.0
0.78,0,0.0,1.0,0.0,1.0
0.79,0,0.0,1.0,0.0,1.0
0.8,0,0.0,1.0,0.0,1.0
0.81,0,0.0,1.0,0.0,1.0
0.82,0,0.0,1.0,0.0,1.0
0.83,0,0.0,1.0,0.0,1.0
0.84,0,0.0,1.0,0.0,1.0
0.85,0,0.0,1.0,0.0,1.0
0.86,0,0.0,1.0,0.0,1.0
0.87,0,0.0,1.0,0.0,1.0
0.88,0,0.0,1.0,0.0,1.0
0.89,0,0.0,1.0,0.0,1.0
0.9,0,0.0,1.0,0.0,1.0
0.91,0,0.0,1.0,0.0,1.0
0.92,0,0.0,1.0,0.0,1.0
0.93,0,0.0,1.0,0.0,1.0
0.94,0,0.0,1.0,0.0,1.0
0.95,0,0.0,1.0,0.0,1.0
